subject_folder	csv_path	trial_index_csv	trigger	category	show_image_duration_s	image_stimulus_duration_s	pre_fixation_s	post_image_delay_s	image_onset_interval_s
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	113	1100	champagne	3.9870554999997694		1.5270769999997356	0.2496478000002753	6.1651615000000675
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	114	1084	cheetah	3.98877370000082		1.9349554999998873	0.24976969999897847	5.845888200000445
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	115	1120	owl	3.9898608999992575	3.9915400999998383	1.6138976000002003	0.2499668999998903	6.1395769999999175
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	116	1129	workbench	3.9756171999997605		1.9065887999995539	0.24946449999970355	6.05616849999933
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	117	1053	reindeer	3.988959100000102	3.9915525999995225	1.8375292999999147	0.24950650000027963	5.954047100000025
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	118	1039	sailboat	3.986398800000643	3.989328999999998	1.7226731000000655	0.2493375999993077	5.9583362000003035
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	119	1111	creme_brulee	3.9857518000007985	3.990049099999851	1.7291808999998466	0.25003579999884096	5.884079499999643
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	120	1012	burrito	3.970506999999998		1.6546715999993467	0.2572898000007626	22.022703000000547
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	121	1067	taffy	3.982176999999865		1.7246758000001137	0.25003519999972923	5.994802299999719
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	122	1084	cheetah	3.9876672999998846	3.9904882000000725	1.769510199999786	0.24948310000036145	5.736804799999845
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	123	1082	necklace	3.9869618000002447	3.990243200000805	1.5065735999996832	0.24945490000027348	6.149377000000641
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	124	1051	yacht	3.9901734999994005		1.9200393000000986	0.2497377999998207	5.823831499999869
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	125	1091	kitten	3.9858752999998615	3.9898394000001645	1.5903157000002466	0.24954720000005182	5.963958499999535
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	126	1081	police_car	3.987383200000295	3.990651899999648	1.7345538999998098	0.24968689999968774	6.2524498000002495
