row	subject_folder	trigger	category	is_repeat	epoch_valid	artifact_status	usable_after_rejection	peak_abs_uv	rms_uv	mean_uv	std_uv
145	P04	1105	gorilla	False	True	pass	True	20.957705	4.355235	-0.000008	4.355235
146	P04	1129	workbench	True	True	pass	True	200.223312	13.624434	0.000003	13.624434
147	P04	1088	slipper	False	True	pass	True	51.892933	13.071200	-0.000001	13.071200
148	P04	1102	crab	False	True	pass	True	32.098263	7.948144	-0.000001	7.948144
149	P04	1033	helmet	False	True	pass	True	32.283455	6.518041	-0.000001	6.518041
150	P04	1141	peach	False	True	pass	True	30.859203	5.723220	0.000010	5.723219
151	P04	1130	showerhead	True	True	pass	True	38.794369	8.933666	0.000010	8.933665
152	P04	1150	chick	True	True	pass	True	249.176392	23.479567	-0.000011	23.479567
153	P04	1145	rocking_chair	True	True	pass	True	118.274834	10.340300	-0.000008	10.340300
154	P04	1094	onion	False	True	pass	True	32.724545	7.370636	0.000007	7.370636
155	P04	1153	donut	False	True	pass	True	26.567856	5.785938	0.000008	5.785938
156	P04	1027	memory_stick	False	True	pass	True	44.102562	12.283054	-0.000006	12.283054
157	P04	1014	shark	False	True	pass	True	25.549530	7.368163	0.000004	7.368163
158	P04	1025	llama	False	True	pass	True	28.423843	6.768438	0.000003	6.768438
159	P04	1148	broccoli	False	True	pass	True	40.028831	7.989813	-0.000000	7.989813
160	P04	1147	lemonade	True	True	pass	True	29.564030	7.722369	-0.000014	7.722368
161	P04	1083	shirt	False	True	pass	True	31.854969	7.755975	-0.000004	7.755975
162	P04	1041	octopus	False	True	pass	True	51.211102	13.806558	-0.000007	13.806557
163	P04	1018	coffee	False	True	pass	True	45.538109	9.360858	0.000004	9.360858
164	P04	1136	snake	False	True	pass	True	27.568134	5.584069	-0.000000	5.584069
165	P04	1044	raccoon	False	True	pass	True	240.512238	17.723072	0.000004	17.723072
166	P04	1027	memory_stick	True	True	pass	True	17.598896	3.889857	0.000011	3.889857
167	P04	1128	toad	False	True	pass	True	19.238070	4.604545	0.000017	4.604545
168	P04	1043	ostrich	False	True	pass	True	31.863388	6.981096	0.000002	6.981096
169	P04	1099	tricycle	False	True	pass	True	194.638672	16.283691	-0.000003	16.283691
170	P04	1117	hamster	False	True	pass	True	32.440498	6.647174	-0.000011	6.647174
171	P04	1030	puffin	False	True	pass	True	31.520342	8.011102	-0.000003	8.011103
172	P04	1080	camcorder	False	True	pass	True	28.578228	7.852227	-0.000002	7.852227
173	P04	1070	dragonfly	False	True	pass	True	179.052383	21.195574	-0.000000	21.195574
174	P04	1007	mirror	False	True	pass	True	21.371511	5.205062	0.000005	5.205062
175	P04	1059	zucchini	True	True	pass	True	25.087185	5.520618	-0.000012	5.520619
176	P04	1158	bulldozer	False	True	pass	True	31.123215	6.395389	-0.000010	6.395389
177	P04	1051	yacht	True	True	pass	True	235.070938	19.405741	0.000001	19.405741
178	P04	1076	groundhog	False	True	pass	True	39.354584	9.440985	-0.000001	9.440984
179	P04	1122	webcam	False	True	review	False	286.344757	23.797968	0.000001	23.797968
180	P04	1052	wallpaper	True	True	pass	True	124.942131	17.240198	0.000001	17.240198
181	P04	1142	piglet	False	True	pass	True	29.414700	7.443055	0.000002	7.443054
182	P04	1064	fly	False	True	pass	True	25.739803	5.612558	0.000009	5.612558
183	P04	1060	squirrel	True	True	pass	True	227.381119	17.973305	0.000000	17.973305
184	P04	1048	sombrero	False	True	pass	True	42.561588	9.092625	-0.000002	9.092625
185	P04	1009	papaya	False	True	pass	True	32.931198	7.633018	0.000014	7.633018
186	P04	1072	blackberry	False	True	pass	True	41.354191	8.992639	-0.000019	8.992639
187	P04	1089	unicycle	False	True	pass	True	21.322802	4.810251	-0.000005	4.810251
188	P04	1075	filing_cabinet	False	True	pass	True	31.858707	7.428142	-0.000002	7.428142
189	P04	1029	sheep	False	True	pass	True	43.083363	10.279717	-0.000018	10.279717
190	P04	1069	rollerblade	False	True	pass	True	38.821838	7.752031	0.000008	7.752031
191	P04	1126	helicopter	True	True	pass	True	25.572626	6.079143	-0.000002	6.079143
192	P04	1019	videocassette	False	True	pass	True	229.283112	19.181543	0.000012	19.181543
193	P04	1005	ottoman	False	True	pass	True	40.465523	10.366570	0.000008	10.366570
194	P04	1116	praying_mantis	False	True	pass	True	45.106174	10.481317	0.000007	10.481317
195	P04	1022	shoe	False	True	pass	True	88.993851	8.205229	0.000000	8.205229
196	P04	1066	giraffe	False	True	pass	True	21.371056	5.059977	-0.000004	5.059977
197	P04	1004	dalmatian	False	True	pass	True	26.607225	5.957714	-0.000009	5.957713
198	P04	1157	barnacle	True	True	pass	True	44.746010	10.717256	0.000013	10.717256
199	P04	1024	lab_coat	False	True	pass	True	63.243999	10.785832	0.000010	10.785832
200	P05	1096	beaver	False	True	pass	True	14.548035	4.320603	0.000026	4.320602
201	P05	1124	nightshirt	False	True	pass	True	77.726715	8.258877	0.000012	8.258877
202	P05	1006	cardinal	False	True	pass	True	17.014433	5.140682	0.000031	5.140682
203	P05	1071	mongoose	False	True	pass	True	21.322001	5.592115	0.000009	5.592115
204	P05	1077	bison	False	True	pass	True	29.931770	6.340822	0.000031	6.340821
205	P05	1159	pear	False	True	pass	True	24.057884	5.034441	0.000023	5.034441
206	P05	1062	antelope	False	True	pass	True	78.895889	9.166306	0.000011	9.166307
207	P05	1145	rocking_chair	False	True	pass	True	71.439468	7.424879	-0.000029	7.424878
208	P05	1015	moose	False	True	pass	True	18.593229	5.856068	-0.000029	5.856068
209	P05	1092	bunkbed	False	True	pass	True	27.712505	7.282333	-0.000020	7.282333
210	P05	1001	limousine	False	True	pass	True	61.673851	7.045443	-0.000043	7.045444
211	P05	1160	clam	False	True	pass	True	78.385078	9.719748	-0.000002	9.719748
212	P05	1020	television	False	True	pass	True	77.500343	8.061677	0.000015	8.061677
213	P05	1104	speaker	False	True	pass	True	29.090292	6.038421	0.000016	6.038421
214	P05	1134	sleeping_bag	False	True	pass	True	82.478523	7.637516	0.000022	7.637516
215	P05	1147	lemonade	False	True	pass	True	72.442223	6.884888	-0.000031	6.884888
216	P05	1121	sunglasses	False	True	pass	True	62.038738	7.292540	0.000018	7.292540
217	P05	1035	lizard	False	True	pass	True	76.310036	8.590787	-0.000023	8.590787
218	P05	1052	wallpaper	False	True	pass	True	67.807007	7.612456	-0.000038	7.612456
219	P05	1132	polar_bear	False	True	pass	True	18.607552	4.458166	-0.000022	4.458166
220	P05	1071	mongoose	True	True	pass	True	80.704010	10.018861	-0.000003	10.018861
221	P05	1150	chick	False	True	pass	True	33.551033	5.078286	0.000026	5.078286
222	P05	1134	sleeping_bag	True	True	pass	True	81.222992	7.867411	-0.000007	7.867411
223	P05	1053	reindeer	False	True	pass	True	78.061928	8.748271	-0.000029	8.748270
224	P05	1060	squirrel	False	True	pass	True	36.732307	8.222204	-0.000059	8.222204
225	P05	1001	limousine	True	True	pass	True	68.122536	6.813256	-0.000010	6.813256
226	P05	1115	marshmallow	False	True	pass	True	128.973175	12.303882	0.000015	12.303882
227	P05	1159	pear	True	True	pass	True	42.814201	10.468549	0.000020	10.468549
228	P05	1012	burrito	False	True	pass	True	54.875362	7.875695	-0.000003	7.875695
229	P05	1036	ladybug	False	True	pass	True	73.638847	7.909927	0.000005	7.909927
230	P05	1045	goose	False	True	pass	True	28.385876	6.634877	-0.000017	6.634877
231	P05	1095	mouse2	False	True	pass	True	36.825954	7.944298	0.000007	7.944298
232	P05	1144	tarantula	False	True	pass	True	28.771177	5.384617	-0.000006	5.384616
233	P05	1057	eggnog	False	True	pass	True	46.329361	6.144052	0.000019	6.144053
234	P05	1112	hard_disk	False	True	pass	True	78.312248	8.762293	-0.000027	8.762293
235	P05	1108	possum	False	True	pass	True	76.604866	7.948869	-0.000025	7.948869
236	P05	1160	clam	True	True	pass	True	82.200363	6.574494	-0.000008	6.574495
237	P05	1031	fish	False	True	pass	True	74.958145	8.837588	-0.000058	8.837588
238	P05	1016	ant	False	True	pass	True	26.252991	6.568455	0.000007	6.568455
239	P05	1118	candy_bar	False	True	pass	True	64.993393	6.740874	-0.000013	6.740874
240	P05	1050	artichoke	False	True	pass	True	34.897289	6.986062	-0.000014	6.986062
241	P05	1157	barnacle	False	True	pass	True	86.734795	8.313027	-0.000029	8.313027
242	P05	1098	stool	False	True	pass	True	19.084833	4.856618	0.000018	4.856618
243	P05	1073	bull	False	True	pass	True	86.816322	9.376140	-0.000033	9.376140
244	P05	1020	television	True	True	pass	True	19.293188	4.141009	-0.000007	4.141009
245	P05	1151	tractor	False	True	pass	True	23.868755	6.188738	0.000003	6.188738
246	P05	1119	star_fruit	False	True	pass	True	24.056889	5.691999	-0.000007	5.691999
247	P05	1011	raspberry	False	True	pass	True	86.331322	7.495600	0.000021	7.495600
248	P05	1137	lamb	False	True	pass	True	37.356987	7.628844	0.000031	7.628844
249	P05	1104	speaker	True	True	pass	True	88.304726	9.546921	-0.000013	9.546921
250	P05	1110	jet	False	True	pass	True	85.309036	8.235353	0.000005	8.235353
251	P05	1144	tarantula	True	True	pass	True	22.941271	5.546567	0.000030	5.546567
252	P05	1006	cardinal	True	True	pass	True	17.325293	3.952893	-0.000022	3.952893
253	P05	1097	sandwich	False	True	pass	True	53.240784	5.271941	-0.000008	5.271941
254	P05	1090	garlic	False	True	pass	True	27.071024	6.505512	-0.000037	6.505512
255	P05	1101	boat	False	True	pass	True	21.433071	5.415945	0.000026	5.415945
256	P05	1132	polar_bear	True	True	pass	True	140.523911	15.239251	-0.000005	15.239251
257	P05	1047	drawer	False	True	pass	True	74.009476	8.417645	-0.000009	8.417645
258	P05	1026	asparagus	False	True	pass	True	24.841204	5.162086	0.000028	5.162086
259	P05	1046	tiramisu	False	True	pass	True	24.294605	5.828356	0.000025	5.828356
260	P05	1110	jet	True	True	pass	True	20.182068	5.607077	-0.000055	5.607076
261	P05	1149	mole	False	True	pass	True	88.035751	9.960537	-0.000021	9.960536
262	P05	1023	wolf	False	True	pass	True	14.678472	3.420990	-0.000010	3.420990
263	P05	1125	sundae	False	True	pass	True	71.824928	6.856890	0.000014	6.856890
264	P05	1037	steamroller	False	True	pass	True	84.481056	7.705383	0.000031	7.705383
265	P05	1120	owl	False	True	pass	True	19.330055	5.112916	0.000020	5.112916
266	P05	1015	moose	True	True	pass	True	61.658104	5.981067	-0.000051	5.981067
267	P05	1121	sunglasses	True	True	pass	True	19.252169	5.373544	0.000009	5.373544
268	P05	1049	rat	False	True	pass	True	21.779741	6.460002	0.000017	6.460002
269	P05	1032	pants	False	True	pass	True	83.329048	9.515321	0.000003	9.515321
270	P05	1063	car	False	True	pass	True	85.347786	8.550540	0.000006	8.550540
271	P05	1118	candy_bar	True	True	pass	True	77.148262	9.867785	-0.000025	9.867785
272	P05	1092	bunkbed	True	True	pass	True	15.920862	5.005612	0.000033	5.005612
273	P05	1038	cupcake	False	True	pass	True	22.496546	4.362395	-0.000010	4.362395
274	P05	1061	taco	False	True	pass	True	61.833416	6.483516	-0.000015	6.483516
