subject_folder	channel	freq_hz	psd_uV2_per_Hz
P04	F8	38.000000	0.000128122032038
P04	F8	39.000000	0.000513074395712
P04	F8	40.000000	0.000858924060594
P04	F8	41.000000	0.000216731496039
P04	F8	42.000000	0.000469258899102
P04	F8	43.000000	0.000473447289551
P04	F8	44.000000	5.88542461628e-05
P04	F8	45.000000	1.61725574799e-06
P04	F8	46.000000	2.56343864748e-05
P04	F8	47.000000	0.000380610843422
P04	F8	48.000000	0.000415846559918
P04	F8	49.000000	0.000532991136424
P04	F8	50.000000	3.62117280019e-05
P04	F8	51.000000	3.52839269908e-05
P04	F8	52.000000	8.01109999884e-05
P04	F8	53.000000	0.000219594672672
P04	F8	54.000000	0.000155311034177
P04	F8	55.000000	5.85693560424e-05
P04	F8	56.000000	0.000112711095426
P04	F8	57.000000	2.00072299776e-05
P04	F8	58.000000	1.02083158708e-05
P04	F8	59.000000	9.89440377452e-05
P04	F8	60.000000	0.000188567311852
P04	F8	61.000000	0.000266339746304
P04	F8	62.000000	0.00023348868126
P04	F8	63.000000	6.57875425532e-05
P04	F8	64.000000	0.000125789447338
P04	F8	65.000000	7.50174149289e-05
P04	F8	66.000000	4.57565547549e-05
P04	F8	67.000000	0.000130406828248
P04	F8	68.000000	0.000121997160022
P04	F8	69.000000	4.32804954471e-05
P04	F8	70.000000	1.02237763713e-05
P04	F8	71.000000	0.000145214464283
P04	F8	72.000000	0.000401123019401
P04	F8	73.000000	0.000502204638906
P04	F8	74.000000	0.000517751905136
P04	F8	75.000000	0.000264980597422
P04	F8	76.000000	3.8458587369e-05
P04	F8	77.000000	1.42603967106e-05
P04	F8	78.000000	0.000114395843411
P04	F8	79.000000	0.00022246511071
P04	F8	80.000000	0.000151221815031
P04	F4	1.000000	0.525620162487
P04	F4	2.000000	0.0518311038613
P04	F4	3.000000	0.0115725044161
P04	F4	4.000000	0.00138612673618
P04	F4	5.000000	0.0137681551278
P04	F4	6.000000	0.00726211629808
P04	F4	7.000000	0.00248056417331
P04	F4	8.000000	0.00569170340896
P04	F4	9.000000	0.00550400139764
P04	F4	10.000000	0.00400947686285
P04	F4	11.000000	0.0011623922037
P04	F4	12.000000	0.00102114898618
P04	F4	13.000000	0.000610669259913
P04	F4	14.000000	0.00361398421228
P04	F4	15.000000	0.00338319991715
P04	F4	16.000000	0.000340666505508
P04	F4	17.000000	0.000486303673824
P04	F4	18.000000	0.00235141441226
P04	F4	19.000000	0.00600950559601
P04	F4	20.000000	0.00144380214624
P04	F4	21.000000	0.000171062260051
P04	F4	22.000000	0.00152324920055
P04	F4	23.000000	0.00291336537339
P04	F4	24.000000	0.00368992146105
P04	F4	25.000000	0.00352815515362
P04	F4	26.000000	0.00755067449063
P04	F4	27.000000	0.00305577088147
P04	F4	28.000000	0.000633966992609
P04	F4	29.000000	0.00100339588244
P04	F4	30.000000	0.000678503653035
P04	F4	31.000000	0.000200766226044
P04	F4	32.000000	0.000520103785675
P04	F4	33.000000	0.000329998438247
P04	F4	34.000000	0.000114482558274
P04	F4	35.000000	4.32677770732e-05
P04	F4	36.000000	0.00188838725444
P04	F4	37.000000	0.00213176081888
P04	F4	38.000000	0.000428273808211
P04	F4	39.000000	0.000228500910453
P04	F4	40.000000	0.000328248075675
P04	F4	41.000000	0.000945162551943
P04	F4	42.000000	0.000237564003328
P04	F4	43.000000	8.59403371578e-06
P04	F4	44.000000	0.00028213483165
P04	F4	45.000000	0.00111987267155
P04	F4	46.000000	0.000508722674567
P04	F4	47.000000	0.000167733902344
P04	F4	48.000000	0.000270104937954
P04	F4	49.000000	0.000167247460922
P04	F4	50.000000	7.51136831241e-05
P04	F4	51.000000	0.000336005323334
P04	F4	52.000000	6.64089930069e-06
P04	F4	53.000000	0.000408531923313
