subject_folder	trial_index	trigger	eeg_inter_event_gap_samples_to_next	eeg_inter_event_gap_s_to_next
P07	190	1029	3002	6.003000
P07	191	1069	2822	5.645000
P07	192	1126	3182	6.364000
P07	193	1019	3002	6.005000
P07	194	1005	3252	6.503000
P07	195	1116	3002	6.004000
P07	196	1022	3002	6.005000
P07	197	1066	3002	6.004000
P07	198	1004	2660	5.320000
P07	199	1157	3344	6.688000
P07	200	1024		
melina	1	1096	3111	6.222000
melina	2	1124	2958	5.916000
melina	3	1006	2942	5.884000
melina	4	1071	3003	6.007000
melina	5	1077	2902	5.804000
melina	6	1159	3094	6.188000
melina	7	1062	2892	5.785000
melina	8	1145	2878	5.756000
melina	9	1015	2944	5.889000
melina	10	1092	3025	6.050000
melina	11	1001	2871	5.742000
melina	12	1160	2972	5.945000
melina	13	1020	3073	6.146000
melina	14	1104	3062	6.125000
melina	15	1134	2912	5.825000
melina	16	1147	3063	6.126000
melina	17	1121	3014	6.028000
melina	18	1035	2909	5.819000
melina	19	1052	2983	5.966000
melina	20	1132	13163	26.328000
melina	21	1071	2909	5.818000
melina	22	1150	3073	6.147000
melina	23	1134	2979	5.958000
melina	24	1053	3111	6.222000
melina	25	1060	3066	6.132000
melina	26	1001	3003	6.007000
melina	27	1115	3072	6.145000
melina	28	1159	3007	6.014000
melina	29	1012	3049	6.098000
melina	30	1036	2947	5.895000
melina	31	1045	2917	5.834000
melina	32	1095	2944	5.889000
melina	33	1144	2871	5.742000
melina	34	1057	3063	6.126000
melina	35	1112	3097	6.195000
melina	36	1108	3048	6.096000
melina	37	1160	2948	5.896000
melina	38	1031	2972	5.945000
melina	39	1016	2969	5.938000
melina	40	1118	12616	25.235000
melina	41	1050	2952	5.903000
melina	42	1157	3017	6.035000
melina	43	1098	2983	5.967000
melina	44	1073	2933	5.866000
melina	45	1020	3062	6.125000
melina	46	1151	3063	6.126000
melina	47	1119	3094	6.188000
melina	48	1011	3082	6.165000
melina	49	1137	2983	5.966000
melina	50	1104	2958	5.917000
melina	51	1110	2913	5.826000
melina	52	1144	2917	5.834000
melina	53	1006	2916	5.833000
melina	54	1097	2958	5.916000
melina	55	1090	3073	6.147000
melina	56	1101	2889	5.778000
melina	57	1132	3058	6.117000
melina	58	1047	2893	5.786000
melina	59	1026	3013	6.027000
melina	60	1046	11877	23.756000
melina	61	1110	2924	5.848000
melina	62	1149	3107	6.215000
melina	63	1023	2879	5.758000
melina	64	1125	2913	5.826000
melina	65	1037	3066	6.133000
melina	66	1120	3013	6.026000
