subject_folder	trigger	category	n_total	n_usable	repeat_corr_flat_31x250	status
P05	1028	meatball	1	1		insufficient_after_rejection
P05	1029	sheep	1	1		insufficient_after_rejection
P05	1030	puffin	1	1		insufficient_after_rejection
P05	1031	fish	1	1		insufficient_after_rejection
P05	1032	pants	1	1		insufficient_after_rejection
P05	1033	helmet	1	1		insufficient_after_rejection
P05	1034	bracelet1	1	1		insufficient_after_rejection
P05	1035	lizard	1	1		insufficient_after_rejection
P05	1036	ladybug	1	1		insufficient_after_rejection
P05	1037	steamroller	1	1		insufficient_after_rejection
P05	1038	cupcake	1	1		insufficient_after_rejection
P05	1039	sailboat	1	1		insufficient_after_rejection
P05	1040	panda	1	1		insufficient_after_rejection
P05	1041	octopus	1	1		insufficient_after_rejection
P05	1042	eagle	1	1		insufficient_after_rejection
P05	1043	ostrich	1	1		insufficient_after_rejection
P05	1044	raccoon	1	1		insufficient_after_rejection
P05	1045	goose	2	2	0.360790	pass
P05	1046	tiramisu	2	2	0.629383	pass
P05	1047	drawer	1	1		insufficient_after_rejection
P05	1048	sombrero	1	1		insufficient_after_rejection
P05	1049	rat	1	1		insufficient_after_rejection
P05	1050	artichoke	1	1		insufficient_after_rejection
P05	1051	yacht	2	2	0.269877	pass
P05	1052	wallpaper	2	2	0.256541	pass
P05	1053	reindeer	2	2	-0.269286	pass
P05	1054	bathtub	1	1		insufficient_after_rejection
P05	1055	seagull	1	1		insufficient_after_rejection
P05	1056	leggings	1	1		insufficient_after_rejection
P05	1057	eggnog	1	1		insufficient_after_rejection
P05	1058	loveseat	1	1		insufficient_after_rejection
P05	1059	zucchini	2	2	0.421830	pass
P05	1060	squirrel	2	2	0.207721	pass
P05	1061	taco	2	2	-0.011567	pass
P05	1062	antelope	2	2	0.684856	pass
P05	1063	car	1	1		insufficient_after_rejection
P05	1064	fly	1	1		insufficient_after_rejection
P05	1065	cabinet	1	1		insufficient_after_rejection
P05	1066	giraffe	1	1		insufficient_after_rejection
P05	1067	taffy	1	1		insufficient_after_rejection
P05	1068	radio	1	1		insufficient_after_rejection
P05	1069	rollerblade	1	1		insufficient_after_rejection
P05	1070	dragonfly	1	1		insufficient_after_rejection
P05	1071	mongoose	2	2	0.242080	pass
P05	1072	blackberry	1	1		insufficient_after_rejection
P05	1073	bull	1	1		insufficient_after_rejection
P05	1074	cobra	1	1		insufficient_after_rejection
P05	1075	filing_cabinet	1	1		insufficient_after_rejection
P05	1076	groundhog	1	1		insufficient_after_rejection
P05	1077	bison	1	1		insufficient_after_rejection
P05	1078	sea_urchin	1	1		insufficient_after_rejection
P05	1079	puppy	1	1		insufficient_after_rejection
P05	1080	camcorder	1	1		insufficient_after_rejection
P05	1081	police_car	1	1		insufficient_after_rejection
P05	1082	necklace	2	2	-0.114992	pass
P05	1083	shirt	1	1		insufficient_after_rejection
P05	1084	cheetah	2	2	0.329884	pass
P05	1085	frog	1	1		insufficient_after_rejection
P05	1086	pasta	1	1		insufficient_after_rejection
P05	1087	bathrobe	1	1		insufficient_after_rejection
P05	1088	slipper	1	1		insufficient_after_rejection
P05	1089	unicycle	1	1		insufficient_after_rejection
P05	1090	garlic	1	1		insufficient_after_rejection
P05	1091	kitten	1	1		insufficient_after_rejection
P05	1092	bunkbed	2	2	0.384148	pass
P05	1093	duckling	1	1		insufficient_after_rejection
P05	1094	onion	1	1		insufficient_after_rejection
P05	1095	mouse2	1	1		insufficient_after_rejection
