subject_folder	channel	band	bandpower_uV2
P05	Cz	beta_13_30	0.0170797155733
P05	Cz	low_gamma_30_45	0.00502440912715
P05	CP2	delta_1_4	0.287487126887
P05	CP2	theta_4_8	0.0445571299642
P05	CP2	alpha_8_13	0.0235865029972
P05	CP2	beta_13_30	0.0133499514595
P05	CP2	low_gamma_30_45	0.00333066860912
P05	PO3	delta_1_4	1.29019749165
P05	PO3	theta_4_8	0.0714215529151
P05	PO3	alpha_8_13	0.0217241945211
P05	PO3	beta_13_30	0.0138261929824
P05	PO3	low_gamma_30_45	0.00424041142469
P05	O1	delta_1_4	2.35554516315
P05	O1	theta_4_8	0.0713656228036
P05	O1	alpha_8_13	0.0293409568258
P05	O1	beta_13_30	0.0249597688671
P05	O1	low_gamma_30_45	0.00707708660048
P05	Oz	delta_1_4	2.87128928304
P05	Oz	theta_4_8	0.0795966447331
P05	Oz	alpha_8_13	0.0180953624658
P05	Oz	beta_13_30	0.0497660656692
P05	Oz	low_gamma_30_45	0.0101077008148
P05	O2	delta_1_4	2.87639725208
P05	O2	theta_4_8	0.101450424641
P05	O2	alpha_8_13	0.0236675073393
P05	O2	beta_13_30	0.0241615167179
P05	O2	low_gamma_30_45	0.00750386228901
P05	PO4	delta_1_4	2.7396017611
P05	PO4	theta_4_8	0.110642228276
P05	PO4	alpha_8_13	0.0277918768115
P05	PO4	beta_13_30	0.0224082406348
P05	PO4	low_gamma_30_45	0.0111461210436
P05	Pz	delta_1_4	1.0051637888
P05	Pz	theta_4_8	0.0793178072199
P05	Pz	alpha_8_13	0.0282472807448
P05	Pz	beta_13_30	0.0177514659008
P05	Pz	low_gamma_30_45	0.00283572653279
P05	CP1	delta_1_4	0.175167024136
P05	CP1	theta_4_8	0.0309061789885
P05	CP1	alpha_8_13	0.0331684949342
P05	CP1	beta_13_30	0.0115655862028
P05	CP1	low_gamma_30_45	0.00517293907615
P05	FC1	delta_1_4	0.923137158155
P05	FC1	theta_4_8	0.0171624901704
P05	FC1	alpha_8_13	0.0145295124967
P05	FC1	beta_13_30	0.0148686763278
P05	FC1	low_gamma_30_45	0.00820754406959
P05	P3	delta_1_4	1.29863804579
P05	P3	theta_4_8	0.0651317916345
P05	P3	alpha_8_13	0.0174245617818
P05	P3	beta_13_30	0.0116258716689
P05	P3	low_gamma_30_45	0.00456198802431
P05	C3	delta_1_4	0.175031244755
P05	C3	theta_4_8	0.0166655003559
P05	C3	alpha_8_13	0.0190243715188
P05	C3	beta_13_30	0.0116873328589
P05	C3	low_gamma_30_45	0.00404702618835
P05	F3	delta_1_4	1.26594862342
P05	F3	theta_4_8	0.0519169997424
P05	F3	alpha_8_13	0.0415071044117
P05	F3	beta_13_30	0.0351933265338
P05	F3	low_gamma_30_45	0.00413955045224
P05	F7	delta_1_4	0.633999809623
P05	F7	theta_4_8	0.0638198042288
P05	F7	alpha_8_13	0.0497557166964
P05	F7	beta_13_30	0.045752691658
P05	F7	low_gamma_30_45	0.0140932782087
P05	FC5	delta_1_4	0.24364826642
P05	FC5	theta_4_8	0.0261858189479
P05	FC5	alpha_8_13	0.0195927738678
P05	FC5	beta_13_30	0.0107733978803
P05	FC5	low_gamma_30_45	0.00396998042561
P05	CP5	delta_1_4	0.0967786386609
P05	CP5	theta_4_8	0.00744478357956
P05	CP5	alpha_8_13	0.0247871188913
P05	CP5	beta_13_30	0.0111455364968
P05	CP5	low_gamma_30_45	0.00595694920048
P05	T7	delta_1_4	0.310329660773
P05	T7	theta_4_8	0.0322434580885
P05	T7	alpha_8_13	0.0142082811799
P05	T7	beta_13_30	0.0401599233155
P05	T7	low_gamma_30_45	0.00796157926379
P05	P7	delta_1_4	1.20861086249
P05	P7	theta_4_8	0.0101414364763
P05	P7	alpha_8_13	0.00334927276708
P05	P7	beta_13_30	0.0219591116766
P05	P7	low_gamma_30_45	0.0113529623268
P06	P8	delta_1_4	0.860246531665
P06	P8	theta_4_8	0.117732111365
P06	P8	alpha_8_13	0.0226340047084
P06	P8	beta_13_30	0.0413785284618
P06	P8	low_gamma_30_45	0.024258849051
P06	T8	delta_1_4	0.449852257967
P06	T8	theta_4_8	0.0798207623884
P06	T8	alpha_8_13	0.0826398804784
P06	T8	beta_13_30	0.0980604261858
P06	T8	low_gamma_30_45	0.0792220637086
P06	CP6	delta_1_4	0.121172204614
P06	CP6	theta_4_8	0.0219077989459
P06	CP6	alpha_8_13	0.0189598228317
P06	CP6	beta_13_30	0.0232490149501
P06	CP6	low_gamma_30_45	0.0124975966355
P06	FC6	delta_1_4	0.504837915301
P06	FC6	theta_4_8	0.0955686755478
P06	FC6	alpha_8_13	0.0203398855519
P06	FC6	beta_13_30	0.0624435853679
P06	FC6	low_gamma_30_45	0.0225447200937
P06	F8	delta_1_4	0.526164129376
P06	F8	theta_4_8	0.205251410604
P06	F8	alpha_8_13	0.0234406548552
P06	F8	beta_13_30	0.0991762833437
P06	F8	low_gamma_30_45	0.0454563678941
P06	F4	delta_1_4	1.32526247203
P06	F4	theta_4_8	0.207870617509
P06	F4	alpha_8_13	0.0403146154713
P06	F4	beta_13_30	0.0242500477179
P06	F4	low_gamma_30_45	0.0165144544408
P06	C4	delta_1_4	0.384030349553
P06	C4	theta_4_8	0.0214079730213
P06	C4	alpha_8_13	0.00172104474041
P06	C4	beta_13_30	0.0274377926835
P06	C4	low_gamma_30_45	0.00478773755458
P06	P4	delta_1_4	1.72759535909
P06	P4	theta_4_8	0.508428379893
P06	P4	alpha_8_13	0.0796431646449
P06	P4	beta_13_30	0.0215270071349
P06	P4	low_gamma_30_45	0.00308666635829
